,기준_년분기_코드,행정동_코드,월_평균_소득_금액,음식_지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,총_직장_인구_수,총_상주인구_수,총_유동인구_수
6507,20214,11680655,5412484,1681432000,102,113,27,31,4,5,11,6134617188,161849,40888,22087,7160640
6508,20214,11680720,5444886,491308000,13,16,0,0,0,0,3,561426646,2156,36779,23927,2682257
6509,20214,11710520,3891704,398255000,58,67,2,1,3,2,9,2393240909,75055,23596,25501,6720170
6510,20214,11710531,2789100,359215000,58,64,6,4,2,1,6,2186670244,78211,3835,12616,3366281
6511,20214,11710532,3033238,654321000,56,60,3,2,5,3,4,3816948284,131307,2952,19174,3908513
6512,20214,11710540,2435636,252179000,87,92,4,4,4,4,5,1607884503,75861,955,19745,3676455
6513,20214,11710566,6095160,556618000,17,21,5,1,5,1,4,370503103,10766,25084,18483,678570
6514,20214,11710670,6352641,413047000,19,21,0,0,5,1,2,1824540334,152652,7793,36151,2046788
6515,20214,11740590,4470889,226201000,20,26,4,1,0,0,6,1508618012,63471,3192,18359,1503964
6516,20214,11740600,2473111,516564000,103,114,6,7,4,5,11,2018601099,73339,2450,27485,11911191
6517,20214,11740610,2749741,2497013000,278,313,4,13,4,11,35,13896017111,460069,3817,34494,11066454
6518,20214,11740660,2897346,2191710000,257,273,4,10,3,8,16,9431314862,300377,4641,23440,6769694
6519,20214,11110550,3647449,648253000,39,41,2,1,5,2,2,909027430,28205,4115,10015,1281028
6520,20214,11110680,2112817,310507000,72,72,8,6,3,2,0,3539409959,93206,344,8326,5834270
6521,20214,11110700,2868519,126210000,20,25,4,1,0,0,5,434070709,25969,460,6080,2270827
6522,20214,11140570,3033044,2023175000,196,213,3,6,1,2,17,10759794022,370628,17346,4038,2212797
6523,20214,11140680,4435938,900126000,92,110,2,2,1,1,18,6325822418,159595,4348,12288,2176279
6524,20214,11170590,3568910,360482000,62,68,9,6,10,7,6,3515827102,118009,2710,12297,2937778
